"","Name","date","Confirmed.Cases","Deaths","Recovered","Active","Incident.Rate","Testing.Rate","Hospitalization.Rate"
"33","NORTH CAROLINA","2020-01-22",0,0,0,0,0,0,0
"34","NORTH DAKOTA","2020-01-22",0,0,0,0,0,0,0
"35","OHIO","2020-01-22",0,0,0,0,0,0,0
"36","OKLAHOMA","2020-01-22",0,0,0,0,0,0,0
"37","OREGON","2020-01-22",0,0,0,0,0,0,0
"38","PENNSYLVANIA","2020-01-22",0,0,0,0,0,0,0
"39","RHODE ISLAND","2020-01-22",0,0,0,0,0,0,0
"40","SOUTH CAROLINA","2020-01-22",0,0,0,0,0,0,0
"41","SOUTH DAKOTA","2020-01-22",0,0,0,0,0,0,0
"42","TENNESSEE","2020-01-22",0,0,0,0,0,0,0
"43","TEXAS","2020-01-22",0,0,0,0,0,0,0
"44","UTAH","2020-01-22",0,0,0,0,0,0,0
"45","VERMONT","2020-01-22",0,0,0,0,0,0,0
"46","VIRGINIA","2020-01-22",0,0,0,0,0,0,0
"47","WASHINGTON","2020-01-22",1,0,0,0,0,0,0
"48","WEST VIRGINIA","2020-01-22",0,0,0,0,0,0,0
"49","WISCONSIN","2020-01-22",0,0,0,0,0,0,0
"50","WYOMING","2020-01-22",0,0,0,0,0,0,0
"51","ALABAMA","2020-01-23",0,0,0,0,0,0,0
"52","ALASKA","2020-01-23",0,0,0,0,0,0,0
"53","ARIZONA","2020-01-23",0,0,0,0,0,0,0
"54","ARKANSAS","2020-01-23",0,0,0,0,0,0,0
"55","CALIFORNIA","2020-01-23",0,0,0,0,0,0,0
"56","COLORADO","2020-01-23",0,0,0,0,0,0,0
"57","CONNECTICUT","2020-01-23",0,0,0,0,0,0,0
"58","DELAWARE","2020-01-23",0,0,0,0,0,0,0
"59","FLORIDA","2020-01-23",0,0,0,0,0,0,0
"60","GEORGIA","2020-01-23",0,0,0,0,0,0,0
"61","HAWAII","2020-01-23",0,0,0,0,0,0,0
"62","IDAHO","2020-01-23",0,0,0,0,0,0,0
"63","ILLINOIS","2020-01-23",0,0,0,0,0,0,0
"64","INDIANA","2020-01-23",0,0,0,0,0,0,0
"65","IOWA","2020-01-23",0,0,0,0,0,0,0
"66","KANSAS","2020-01-23",0,0,0,0,0,0,0
"67","KENTUCKY","2020-01-23",0,0,0,0,0,0,0
"68","LOUISIANA","2020-01-23",0,0,0,0,0,0,0
"69","MAINE","2020-01-23",0,0,0,0,0,0,0
"70","MARYLAND","2020-01-23",0,0,0,0,0,0,0
"71","MASSACHUSETTS","2020-01-23",0,0,0,0,0,0,0
"72","MICHIGAN","2020-01-23",0,0,0,0,0,0,0
"73","MINNESOTA","2020-01-23",0,0,0,0,0,0,0
"74","MISSISSIPPI","2020-01-23",0,0,0,0,0,0,0
"75","MISSOURI","2020-01-23",0,0,0,0,0,0,0
"76","MONTANA","2020-01-23",0,0,0,0,0,0,0
"77","NEBRASKA","2020-01-23",0,0,0,0,0,0,0
"78","NEVADA","2020-01-23",0,0,0,0,0,0,0
"79","NEW HAMPSHIRE","2020-01-23",0,0,0,0,0,0,0
"80","NEW JERSEY","2020-01-23",0,0,0,0,0,0,0
"81","NEW MEXICO","2020-01-23",0,0,0,0,0,0,0
"82","NEW YORK","2020-01-23",0,0,0,0,0,0,0
"83","NORTH CAROLINA","2020-01-23",0,0,0,0,0,0,0
"84","NORTH DAKOTA","2020-01-23",0,0,0,0,0,0,0
"85","OHIO","2020-01-23",0,0,0,0,0,0,0
"86","OKLAHOMA","2020-01-23",0,0,0,0,0,0,0
"87","OREGON","2020-01-23",0,0,0,0,0,0,0
"88","PENNSYLVANIA","2020-01-23",0,0,0,0,0,0,0
"89","RHODE ISLAND","2020-01-23",0,0,0,0,0,0,0
"90","SOUTH CAROLINA","2020-01-23",0,0,0,0,0,0,0
"91","SOUTH DAKOTA","2020-01-23",0,0,0,0,0,0,0
"92","TENNESSEE","2020-01-23",0,0,0,0,0,0,0
"93","TEXAS","2020-01-23",0,0,0,0,0,0,0
"94","UTAH","2020-01-23",0,0,0,0,0,0,0
"95","VERMONT","2020-01-23",0,0,0,0,0,0,0
"96","VIRGINIA","2020-01-23",0,0,0,0,0,0,0
"97","WASHINGTON","2020-01-23",1,0,0,0,0,0,0
"98","WEST VIRGINIA","2020-01-23",0,0,0,0,0,0,0
"99","WISCONSIN","2020-01-23",0,0,0,0,0,0,0
"100","WYOMING","2020-01-23",0,0,0,0,0,0,0
"101","ALABAMA","2020-01-24",0,0,0,0,0,0,0
"102","ALASKA","2020-01-24",0,0,0,0,0,0,0
"103","ARIZONA","2020-01-24",0,0,0,0,0,0,0
"104","ARKANSAS","2020-01-24",0,0,0,0,0,0,0
"105","CALIFORNIA","2020-01-24",0,0,0,0,0,0,0
"106","COLORADO","2020-01-24",0,0,0,0,0,0,0
"107","CONNECTICUT","2020-01-24",0,0,0,0,0,0,0
"108","DELAWARE","2020-01-24",0,0,0,0,0,0,0
"109","FLORIDA","2020-01-24",0,0,0,0,0,0,0
"110","GEORGIA","2020-01-24",0,0,0,0,0,0,0
"111","HAWAII","2020-01-24",0,0,0,0,0,0,0
"112","IDAHO","2020-01-24",0,0,0,0,0,0,0
"113","ILLINOIS","2020-01-24",1,0,0,0,0,0,0
"114","INDIANA","2020-01-24",0,0,0,0,0,0,0
"115","IOWA","2020-01-24",0,0,0,0,0,0,0
"116","KANSAS","2020-01-24",0,0,0,0,0,0,0
"117","KENTUCKY","2020-01-24",0,0,0,0,0,0,0
"118","LOUISIANA","2020-01-24",0,0,0,0,0,0,0
"119","MAINE","2020-01-24",0,0,0,0,0,0,0
"120","MARYLAND","2020-01-24",0,0,0,0,0,0,0
"121","MASSACHUSETTS","2020-01-24",0,0,0,0,0,0,0
"122","MICHIGAN","2020-01-24",0,0,0,0,0,0,0
"123","MINNESOTA","2020-01-24",0,0,0,0,0,0,0
"124","MISSISSIPPI","2020-01-24",0,0,0,0,0,0,0
"125","MISSOURI","2020-01-24",0,0,0,0,0,0,0
"126","MONTANA","2020-01-24",0,0,0,0,0,0,0
"127","NEBRASKA","2020-01-24",0,0,0,0,0,0,0
"128","NEVADA","2020-01-24",0,0,0,0,0,0,0
"129","NEW HAMPSHIRE","2020-01-24",0,0,0,0,0,0,0
"130","NEW JERSEY","2020-01-24",0,0,0,0,0,0,0
"131","NEW MEXICO","2020-01-24",0,0,0,0,0,0,0
"132","NEW YORK","2020-01-24",0,0,0,0,0,0,0
