"","Province_State","statefips","date","Population","confirmed","death"
"111","Hawaii",15,2020-01-24,1415872,0,0
"112","Idaho",16,2020-01-24,1787065,0,0
"113","Illinois",17,2020-01-24,12671821,1,0
"114","Indiana",18,2020-01-24,6732219,0,0
"115","Iowa",19,2020-01-24,3155070,0,0
"116","Kansas",20,2020-01-24,2913314,0,0
"117","Kentucky",21,2020-01-24,4467673,0,0
"118","Louisiana",22,2020-01-24,4648794,0,0
"119","Maine",23,2020-01-24,1344212,0,0
"120","Maryland",24,2020-01-24,6045680,0,0
"121","Massachusetts",25,2020-01-24,6892503,0,0
"122","Michigan",26,2020-01-24,9986857,0,0
"123","Minnesota",27,2020-01-24,5639632,0,0
"124","Mississippi",28,2020-01-24,2976149,0,0
"125","Missouri",29,2020-01-24,6626371,0,0
"126","Montana",30,2020-01-24,1068778,0,0
"127","Nebraska",31,2020-01-24,1934408,0,0
"128","Nevada",32,2020-01-24,3080156,0,0
"129","New Hampshire",33,2020-01-24,1359711,0,0
"130","New Jersey",34,2020-01-24,8882190,0,0
"131","New Mexico",35,2020-01-24,2096829,0,0
"132","New York",36,2020-01-24,19453561,0,0
"133","North Carolina",37,2020-01-24,10488084,0,0
"134","North Dakota",38,2020-01-24,762062,0,0
"135","Ohio",39,2020-01-24,11689100,0,0
"136","Oklahoma",40,2020-01-24,3956971,0,0
"137","Oregon",41,2020-01-24,4217737,0,0
"138","Pennsylvania",42,2020-01-24,12801989,0,0
"139","Rhode Island",44,2020-01-24,1059361,0,0
"140","South Carolina",45,2020-01-24,5148714,0,0
"141","South Dakota",46,2020-01-24,884659,0,0
"142","Tennessee",47,2020-01-24,6829174,0,0
"143","Texas",48,2020-01-24,28995881,0,0
"144","Utah",49,2020-01-24,3205958,0,0
"145","Vermont",50,2020-01-24,623989,0,0
"146","Virginia",51,2020-01-24,8535519,0,0
"147","Washington",53,2020-01-24,7614893,1,0
"148","West Virginia",54,2020-01-24,1792147,0,0
"149","Wisconsin",55,2020-01-24,5822434,0,0
"150","Wyoming",56,2020-01-24,578759,0,0
"151","Alabama",1,2020-01-25,4903185,0,0
"152","Alaska",2,2020-01-25,731545,0,0
"153","Arizona",4,2020-01-25,7278717,0,0
"154","Arkansas",5,2020-01-25,3017804,0,0
"155","California",6,2020-01-25,39512223,0,0
"156","Colorado",8,2020-01-25,5758736,0,0
"157","Connecticut",9,2020-01-25,3565287,0,0
"158","Delaware",10,2020-01-25,973764,0,0
"159","Florida",12,2020-01-25,21477737,0,0
"160","Georgia",13,2020-01-25,10617423,0,0
"161","Hawaii",15,2020-01-25,1415872,0,0
"162","Idaho",16,2020-01-25,1787065,0,0
"163","Illinois",17,2020-01-25,12671821,1,0
"164","Indiana",18,2020-01-25,6732219,0,0
"165","Iowa",19,2020-01-25,3155070,0,0
"166","Kansas",20,2020-01-25,2913314,0,0
"167","Kentucky",21,2020-01-25,4467673,0,0
"168","Louisiana",22,2020-01-25,4648794,0,0
"169","Maine",23,2020-01-25,1344212,0,0
"170","Maryland",24,2020-01-25,6045680,0,0
"171","Massachusetts",25,2020-01-25,6892503,0,0
"172","Michigan",26,2020-01-25,9986857,0,0
"173","Minnesota",27,2020-01-25,5639632,0,0
"174","Mississippi",28,2020-01-25,2976149,0,0
"175","Missouri",29,2020-01-25,6626371,0,0
"176","Montana",30,2020-01-25,1068778,0,0
"177","Nebraska",31,2020-01-25,1934408,0,0
"178","Nevada",32,2020-01-25,3080156,0,0
